Stream,Physics,Chemistry,Biology,English,ComputerScience,Mathematics,Accountancy,BusinessStudies,Economics,History,Geography,PoliticalScience,Sociology,Interest_Tech,Interest_Entrepreneurship,Interest_Leadership,Interest_Innovation,Interest_CriticalThinking,Interest_Research,Interest_ComputerSkill,Interest_HardwareSkill,Interest_Food,Interest_Creativity,PositiveThinking,Participated_Hackathon,Participated_Olympiad,Participated_Kabaddi,Participated_KhoKho,Participated_Cricket,CareerOption
Arts,,,,60,,,,,,53,52,52,79,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,Software Developer
Science_PCB,53,84,89,80,83,,,,,,,,,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,Doctor
Commerce,,,,79,,98,59,62,89,,,,,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,Politician
Science_PCM,71,60,,53,98,85,,,,,,,,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,Politician
Science_PCM,63,55,,96,81,71,,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,Engineer
Arts,,,,72,,,,,,65,74,92,61,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,Artist
Science_PCB,68,86,85,53,94,,,,,,,,,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,Artist
Science_PCM,54,51,,65,79,69,,,,,,,,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,Scientist
Arts,,,,73,,,,,,79,63,53,61,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,Doctor
Science_PCM,86,93,,73,74,77,,,,,,,,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,Entrepreneur
Science_PCB,86,85,53,61,82,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,Software Developer
Science_PCB,67,59,91,91,81,,,,,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,Engineer
Science_PCM,99,79,,99,53,86,,,,,,,,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,Scientist
Science_PCM,50,89,,66,61,62,,,,,,,,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,Entrepreneur
Commerce,,,,59,,64,64,66,62,,,,,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,Doctor
Science_PCM,64,63,,68,54,59,,,,,,,,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,Entrepreneur
Science_PCB,67,91,84,89,50,,,,,,,,,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,Entrepreneur
Arts,,,,52,,,,,,81,74,98,54,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,Software Developer
Science_PCB,76,100,76,56,82,,,,,,,,,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,Artist
Science_PCB,66,71,87,57,99,,,,,,,,,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,Politician
Commerce,,,,70,,93,76,85,96,,,,,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,Athlete
Science_PCB,65,52,79,90,69,,,,,,,,,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,Software Developer
Arts,,,,96,,,,,,78,74,82,99,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,Athlete
Arts,,,,53,,,,,,93,93,79,81,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,Politician
Arts,,,,60,,,,,,96,60,66,81,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,Chartered Accountant
Science_PCB,83,99,84,88,96,,,,,,,,,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,Software Developer
Science_PCM,52,76,,80,97,99,,,,,,,,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,Artist
Commerce,,,,81,,54,80,72,65,,,,,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,Engineer
Science_PCB,78,68,72,80,66,,,,,,,,,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,Artist
Arts,,,,57,,,,,,73,51,51,68,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,Chartered Accountant
Commerce,,,,88,,85,86,90,57,,,,,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,Artist
Arts,,,,67,,,,,,86,86,73,74,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,Engineer
Arts,,,,80,,,,,,52,53,73,54,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,Teacher
Science_PCB,58,78,61,77,86,,,,,,,,,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,Engineer
Science_PCB,50,85,61,65,76,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Doctor
Commerce,,,,69,,88,99,50,76,,,,,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,Politician
Science_PCB,84,78,60,96,52,,,,,,,,,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,Politician
Commerce,,,,51,,52,78,89,63,,,,,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,Software Developer
Science_PCB,98,58,53,60,98,,,,,,,,,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,Doctor
Commerce,,,,82,,90,81,74,52,,,,,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,Artist
Science_PCB,76,87,74,66,97,,,,,,,,,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,Teacher
Science_PCM,59,69,,68,63,50,,,,,,,,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,Engineer
Commerce,,,,60,,61,61,70,100,,,,,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,Chartered Accountant
Science_PCB,85,73,54,63,70,,,,,,,,,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,Scientist
Arts,,,,86,,,,,,78,65,97,62,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,Doctor
Science_PCB,92,95,50,78,94,,,,,,,,,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,Software Developer
Science_PCB,61,100,79,96,68,,,,,,,,,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,Athlete
Science_PCB,92,77,94,74,61,,,,,,,,,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,Engineer
Science_PCB,90,96,77,75,75,,,,,,,,,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,Teacher
Commerce,,,,88,,65,63,93,98,,,,,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,Politician
Commerce,,,,87,,82,68,97,90,,,,,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,Athlete
Science_PCB,60,77,87,76,82,,,,,,,,,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,Chartered Accountant
Commerce,,,,58,,58,86,90,64,,,,,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,Chartered Accountant
Commerce,,,,83,,71,86,67,72,,,,,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,Doctor
Science_PCB,56,100,86,51,77,,,,,,,,,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,Chartered Accountant
Science_PCM,72,70,,50,73,99,,,,,,,,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,Engineer
Arts,,,,94,,,,,,82,96,61,97,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,Politician
Science_PCB,50,96,89,83,98,,,,,,,,,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,Entrepreneur
Science_PCM,79,85,,73,89,56,,,,,,,,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,Engineer
Arts,,,,78,,,,,,65,86,70,86,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,Scientist
Commerce,,,,62,,90,100,91,68,,,,,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,Software Developer
Science_PCB,72,89,86,62,84,,,,,,,,,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,Artist
Science_PCM,70,52,,67,70,58,,,,,,,,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,Politician
Science_PCM,59,59,,72,62,72,,,,,,,,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,Entrepreneur
Science_PCM,55,57,,88,91,56,,,,,,,,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,Engineer
Science_PCM,50,61,,56,66,54,,,,,,,,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,Chartered Accountant
Science_PCB,92,64,83,88,81,,,,,,,,,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,Politician
Commerce,,,,84,,87,89,98,91,,,,,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,Scientist
Science_PCM,73,54,,51,73,51,,,,,,,,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,Scientist
Arts,,,,89,,,,,,53,97,75,53,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,Teacher
Science_PCB,70,56,99,50,93,,,,,,,,,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,Artist
Arts,,,,85,,,,,,64,68,72,79,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,Chartered Accountant
Arts,,,,51,,,,,,78,87,69,99,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,Software Developer
Arts,,,,58,,,,,,64,60,59,88,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,Chartered Accountant
Science_PCM,53,53,,61,57,68,,,,,,,,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,Politician
Science_PCM,92,56,,63,57,70,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,Software Developer
Science_PCB,67,89,61,76,54,,,,,,,,,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,Athlete
Science_PCB,73,68,88,70,55,,,,,,,,,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,Politician
Science_PCM,77,97,,64,100,50,,,,,,,,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,Athlete
Science_PCM,69,90,,98,67,51,,,,,,,,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,Engineer
Arts,,,,67,,,,,,74,69,85,86,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,Entrepreneur
Science_PCM,71,88,,80,82,83,,,,,,,,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,Software Developer
Commerce,,,,87,,70,60,77,58,,,,,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,Engineer
Science_PCB,84,99,77,72,66,,,,,,,,,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,Scientist
Science_PCM,63,92,,78,63,80,,,,,,,,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,Scientist
Arts,,,,73,,,,,,50,65,51,67,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,Politician
Science_PCB,68,52,60,70,95,,,,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,Politician
Arts,,,,54,,,,,,75,58,64,62,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,Teacher
Science_PCM,57,75,,67,75,55,,,,,,,,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,Doctor
Arts,,,,82,,,,,,62,100,52,84,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,Software Developer
Arts,,,,75,,,,,,56,95,53,76,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,Athlete
Science_PCB,79,72,97,67,83,,,,,,,,,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,Doctor
Science_PCM,81,72,,84,85,99,,,,,,,,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,Doctor
Science_PCB,75,84,96,77,99,,,,,,,,,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,Athlete
Science_PCM,81,73,,95,94,57,,,,,,,,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,Entrepreneur
Science_PCM,94,85,,73,60,89,,,,,,,,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,Teacher
Science_PCB,71,65,68,53,92,,,,,,,,,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,Chartered Accountant
Science_PCB,67,75,70,67,99,,,,,,,,,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,Engineer
Science_PCB,98,65,94,62,76,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,Artist
Commerce,,,,63,,70,72,65,57,,,,,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,Teacher
Arts,,,,51,,,,,,62,65,75,54,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,Entrepreneur
Science_PCB,92,72,86,59,86,,,,,,,,,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,Artist
Science_PCB,88,80,70,70,54,,,,,,,,,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,Entrepreneur
Commerce,,,,88,,80,55,67,83,,,,,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,Engineer
Science_PCB,52,62,86,76,69,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,Teacher
Science_PCB,74,92,100,68,97,,,,,,,,,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Doctor
Commerce,,,,86,,92,57,66,60,,,,,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,Chartered Accountant
Science_PCB,50,68,76,55,89,,,,,,,,,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,Athlete
Commerce,,,,61,,93,99,84,63,,,,,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,Chartered Accountant
Arts,,,,97,,,,,,85,72,60,97,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,Artist
Science_PCM,98,93,,86,65,65,,,,,,,,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,Chartered Accountant
Science_PCM,56,74,,68,78,96,,,,,,,,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,Scientist
Arts,,,,93,,,,,,94,67,97,89,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,Scientist
Commerce,,,,77,,85,81,74,89,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,Teacher
Science_PCM,66,92,,95,82,66,,,,,,,,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,Chartered Accountant
Commerce,,,,55,,74,72,66,57,,,,,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,Engineer
Science_PCB,65,98,88,80,85,,,,,,,,,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,Software Developer
Commerce,,,,79,,88,76,77,93,,,,,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,Scientist
Science_PCM,94,99,,83,81,59,,,,,,,,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,Artist
Commerce,,,,95,,97,93,86,76,,,,,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,Software Developer
Science_PCB,64,54,75,84,61,,,,,,,,,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,Athlete
Science_PCB,65,93,59,58,55,,,,,,,,,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,Athlete
Arts,,,,50,,,,,,73,56,97,88,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,Scientist
Commerce,,,,94,,78,67,50,51,,,,,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,Teacher
Arts,,,,70,,,,,,95,60,86,94,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,Software Developer
Science_PCM,98,60,,86,79,62,,,,,,,,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,Entrepreneur
Science_PCB,65,69,87,51,59,,,,,,,,,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,Politician
Arts,,,,70,,,,,,57,55,75,68,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,Artist
Arts,,,,75,,,,,,97,77,76,99,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,Athlete
Science_PCB,91,51,52,53,82,,,,,,,,,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,Engineer
Commerce,,,,60,,52,93,81,71,,,,,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,Engineer
Arts,,,,55,,,,,,77,71,66,93,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,Teacher
Commerce,,,,70,,52,83,92,73,,,,,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,Artist
Science_PCB,64,63,50,71,62,,,,,,,,,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,Software Developer
Arts,,,,58,,,,,,90,61,97,81,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,Entrepreneur
Science_PCB,100,83,50,57,63,,,,,,,,,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,Software Developer
Arts,,,,82,,,,,,81,71,68,57,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,Software Developer
Science_PCM,87,97,,71,50,69,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,Entrepreneur
Arts,,,,77,,,,,,65,95,87,79,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,Doctor
Arts,,,,62,,,,,,75,71,84,78,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,Scientist
Science_PCM,68,90,,96,95,87,,,,,,,,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,Software Developer
Commerce,,,,65,,91,78,75,58,,,,,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,Athlete
Commerce,,,,93,,85,64,98,60,,,,,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,Politician
Commerce,,,,81,,95,70,52,63,,,,,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,Teacher
Science_PCM,81,70,,93,74,52,,,,,,,,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,Athlete
Science_PCM,71,73,,65,72,64,,,,,,,,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,Teacher
Science_PCB,64,89,97,84,77,,,,,,,,,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,Doctor
Arts,,,,62,,,,,,82,90,53,80,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,Engineer
Science_PCB,100,82,57,65,99,,,,,,,,,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,Software Developer
Science_PCM,52,70,,63,93,76,,,,,,,,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,Teacher
Arts,,,,89,,,,,,76,64,99,92,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,Chartered Accountant
Science_PCB,52,58,66,73,69,,,,,,,,,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,Politician
Science_PCM,70,92,,76,57,69,,,,,,,,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,Doctor
Science_PCM,98,99,,81,62,89,,,,,,,,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,Software Developer
Science_PCB,100,96,84,74,72,,,,,,,,,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,Software Developer
Commerce,,,,93,,52,59,65,53,,,,,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,Scientist
Arts,,,,73,,,,,,95,91,71,68,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,Entrepreneur
Arts,,,,58,,,,,,86,78,51,51,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,Teacher
Science_PCB,97,85,67,64,66,,,,,,,,,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,Teacher
Commerce,,,,73,,83,53,90,59,,,,,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,Athlete
Science_PCM,63,78,,97,85,50,,,,,,,,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,Chartered Accountant
Commerce,,,,69,,68,67,74,64,,,,,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,Politician
Arts,,,,60,,,,,,90,96,67,94,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,Doctor
Commerce,,,,68,,89,88,89,55,,,,,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,Software Developer
Commerce,,,,84,,77,67,93,73,,,,,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,Artist
Science_PCB,80,70,99,51,86,,,,,,,,,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,Chartered Accountant
Science_PCB,64,76,53,80,68,,,,,,,,,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,Chartered Accountant
Commerce,,,,57,,92,57,99,59,,,,,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,Artist
Science_PCB,75,61,76,94,92,,,,,,,,,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,Software Developer
Science_PCM,62,61,,59,56,85,,,,,,,,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,Doctor
Science_PCM,98,66,,53,68,80,,,,,,,,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,Scientist
Science_PCB,56,53,81,50,97,,,,,,,,,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,Artist
Arts,,,,66,,,,,,69,56,62,93,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,Chartered Accountant
Commerce,,,,58,,95,92,70,64,,,,,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,Entrepreneur
Science_PCB,67,80,98,94,71,,,,,,,,,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,Doctor
Arts,,,,93,,,,,,83,60,81,61,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,Athlete
Science_PCB,95,65,60,66,85,,,,,,,,,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,Software Developer
Science_PCM,57,88,,59,76,90,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Doctor
Science_PCM,71,73,,95,55,78,,,,,,,,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,Software Developer
Arts,,,,74,,,,,,73,84,89,53,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,Entrepreneur
Science_PCB,92,85,63,57,59,,,,,,,,,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,Scientist
Arts,,,,96,,,,,,53,50,64,57,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,Artist
Commerce,,,,84,,56,66,98,85,,,,,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,Engineer
Commerce,,,,68,,93,95,94,85,,,,,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,Teacher
Science_PCB,62,83,75,73,84,,,,,,,,,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,Engineer
Science_PCB,81,66,92,92,88,,,,,,,,,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,Artist
Arts,,,,87,,,,,,55,93,75,59,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,Scientist
Commerce,,,,76,,63,82,70,55,,,,,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,Teacher
Science_PCB,51,53,71,100,84,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,Athlete
Science_PCM,100,53,,80,91,80,,,,,,,,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,Chartered Accountant
Arts,,,,95,,,,,,80,96,83,94,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,Software Developer
Science_PCB,84,73,99,98,62,,,,,,,,,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,Artist
Science_PCB,82,98,57,58,66,,,,,,,,,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,Doctor
Science_PCM,76,64,,65,89,60,,,,,,,,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,Engineer
Arts,,,,66,,,,,,90,53,57,96,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,Software Developer
Arts,,,,62,,,,,,81,63,98,52,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,Entrepreneur
Commerce,,,,55,,77,88,79,81,,,,,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,Entrepreneur
Arts,,,,78,,,,,,76,73,88,52,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,Teacher
Science_PCB,96,95,92,87,50,,,,,,,,,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,Chartered Accountant
Arts,,,,76,,,,,,80,100,73,81,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Athlete
Commerce,,,,60,,72,71,61,94,,,,,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,Chartered Accountant
Commerce,,,,58,,53,56,65,96,,,,,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,Entrepreneur
Commerce,,,,99,,51,64,50,76,,,,,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,Doctor
Commerce,,,,59,,86,76,60,93,,,,,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,Chartered Accountant
Science_PCB,68,96,67,90,99,,,,,,,,,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,Artist
Arts,,,,61,,,,,,82,51,83,52,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,Engineer
Science_PCB,66,86,78,68,98,,,,,,,,,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,Engineer
Science_PCM,97,92,,57,57,74,,,,,,,,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,Chartered Accountant
Arts,,,,70,,,,,,70,71,66,87,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,Teacher
Science_PCM,75,69,,96,80,53,,,,,,,,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,Doctor
Arts,,,,76,,,,,,98,60,82,82,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,Artist
Science_PCM,74,89,,85,78,71,,,,,,,,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,Doctor
Science_PCM,59,68,,83,57,93,,,,,,,,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,Scientist
Science_PCB,76,73,79,91,75,,,,,,,,,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,Athlete
Science_PCB,84,89,100,75,69,,,,,,,,,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,Athlete
Science_PCB,87,70,64,92,80,,,,,,,,,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,Politician
Commerce,,,,55,,73,70,86,50,,,,,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,Politician
Commerce,,,,79,,90,64,59,58,,,,,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,Artist
Commerce,,,,94,,61,76,96,76,,,,,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,Scientist
Arts,,,,77,,,,,,86,58,87,69,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,Chartered Accountant
Arts,,,,88,,,,,,90,65,71,65,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,Engineer
Commerce,,,,74,,100,90,59,62,,,,,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,Artist
Science_PCB,79,100,78,93,50,,,,,,,,,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,Politician
